Order_ID,min_cost,plant,port_price,port
1447296447,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447158015,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447138899,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447363528,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447363981,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447351441,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447320236,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447158019,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447219341,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447398416,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447381679,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447170785,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447155056,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447257265,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447240989,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447257231,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447260653,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447139375,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447308590,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447191271,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447191284,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447352426,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447211829,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447232833,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447205081,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447365980,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447157118,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447398413,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447377319,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447257239,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447368959,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447308591,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447398479,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447377316,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447365993,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447223051,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447260686,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447299202,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447330061,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447260670,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447157119,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447205082,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447398412,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447257238,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447241003,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447398481,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447398420,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447308592,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447241005,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447191288,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447232831,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447377317,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447211552,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447257266,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447365979,4.756374175, 'PLANT16',2.836566667, 'PORT09'
1447299203,4.756374175, 'PLANT16',2.836566667, 'PORT09'
